test,Tool,rep_1,tool_2,rep_2,Fractional distance
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.2396694214876033
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.3305785123966942
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.371900826446281
5 fixed joint,FastML,repeat_1,PAML,repeat_3,0.2644628099173554
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.23553719008264462
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.371900826446281
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.33884297520661155
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.3512396694214876
5 fixed joint,FastML,repeat_1,PAML,repeat_4,0.2066115702479339
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.16115702479338842
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.16115702479338842
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.1446280991735537
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.1446280991735537
5 fixed joint,FastML,repeat_2,GRASP,repeat_1,0.19421487603305784
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.04132231404958678
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.15702479338842976
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.21074380165289255
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.1652892561983471
5 fixed joint,FastML,repeat_2,GRASP,repeat_2,0.17355371900826447
5 fixed joint,FastML,repeat_2,GRASP,repeat_3,0.09917355371900827
5 fixed joint,FastML,repeat_2,GRASP,repeat_3,0.2024793388429752
5 fixed joint,FastML,repeat_2,GRASP,repeat_3,0.17355371900826447
5 fixed joint,FastML,repeat_2,GRASP,repeat_3,0.11983471074380166
5 fixed joint,FastML,repeat_2,GRASP,repeat_3,0.1652892561983471
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.16115702479338842
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.15289256198347106
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.15702479338842976
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.19008264462809918
5 fixed joint,FastML,repeat_2,GRASP,repeat_4,0.128099173553719
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.19008264462809918
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.17355371900826447
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.14049586776859505
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.30165289256198347
5 fixed joint,FastML,repeat_2,PAML,repeat_1,0.22727272727272727
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.10743801652892562
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.17355371900826447
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.2809917355371901
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.32644628099173556
5 fixed joint,FastML,repeat_2,PAML,repeat_2,0.1859504132231405
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.11570247933884298
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.30991735537190085
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.3677685950413223
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.3181818181818182
5 fixed joint,FastML,repeat_2,PAML,repeat_3,0.28512396694214875
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.30991735537190085
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.41735537190082644
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.38016528925619836
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.3925619834710744
5 fixed joint,FastML,repeat_2,PAML,repeat_4,0.1859504132231405
