test,Tool,rep_1,tool_2,rep_2,Fractional distance
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.14945054945054945
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.1934065934065934
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.2923076923076923
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17362637362637362
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17802197802197803
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.27912087912087913
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.18021978021978022
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17802197802197803
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17802197802197803
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14285714285714285
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15164835164835164
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17582417582417584
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.17582417582417584
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.14725274725274726
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.18461538461538463
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16263736263736264
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15604395604395604
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.189010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16043956043956045
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.189010989010989
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.15824175824175823
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.2021978021978022
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.041758241758241756
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17802197802197803
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.2
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16703296703296702
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16483516483516483
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.2043956043956044
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.17142857142857143
20 fixed joint,FastML,repeat_1,GRASP,repeat_1,0.16703296703296702
20 fixed joint,FastML,repeat_1,PAML,repeat_1,0.15824175824175823
